strain	sample_id	site_id	gradient	date	PCR	genome	virus
Q27_1	Q0027	Quito	urban	2014-05-15	aEPEC	aEPEC	ecoli
Q282	Q0282	Quito	urban	2014-09-19	aEPEC	aEPEC	ecoli
Q284	Q0284	Quito	urban	2014-09-19	NA	NA	ecoli
Q288	Q0288	Quito	urban	2014-09-19	ETEC	ETEC	ecoli
Q289	Q0289	Quito	urban	2014-09-19	NA	NA	ecoli
Q294	Q0294	Quito	urban	2014-09-22	ETEC	ETEC	ecoli
Q295	Q0295	Quito	urban	2014-09-22	ETEC	ETEC	ecoli
Q300	Q0300	Quito	urban	2014-09-23	NA	NA	ecoli
Q307_1	Q0307	Quito	urban	2014-09-23	DAEC	DAEC	ecoli
Q308	Q0308	Quito	urban	2014-09-23	DAEC	DAEC	ecoli
Q310	Q0310	Quito	urban	2014-09-23	DAEC	DAEC	ecoli
Q312_1	Q0312	Quito	urban	2014-09-24	DAEC	DAEC	ecoli
Q312_reads_u803	Q0312	Quito	urban	2014-09-24	NA	NA	ecoli
Q31_6	Q0031	Quito	urban	2014-05-18	EIEC	EIEC	ecoli
Q33_6	Q0033	Quito	urban	2014-05-18	EIEC	EIEC	ecoli
Q34_6	Q0034	Quito	urban	2014-05-19	EIEC	EIEC	ecoli
Q35_1	Q0035	Quito	urban	2014-05-19	DAEC	DAEC	ecoli
Q37_4	Q0037	Quito	urban	2014-05-19	aEPEC	aEPEC	ecoli
Q38_1	Q0038	Quito	urban	2014-05-19	ETEC	ETEC	ecoli
Q40	Q0040	Quito	urban	2014-08-06	DAEC	DAEC	ecoli
Q49	Q0049	Quito	urban	2014-08-26	NA	NA	ecoli
Q51	Q0051	Quito	urban	2014-08-26	DAEC	DAEC	ecoli
Q51_MG_31_isolate	Q0051	Quito	urban	2014-08-26	NA	NA	ecoli
Q53	Q0053	Quito	urban	2014-08-26	ETEC	ETEC	ecoli
Q56	Q0056	Quito	urban	2014-08-27	DAEC	DAEC	ecoli
Q65	Q0065	Quito	urban	2014-08-28	DAEC	DAEC	ecoli
Q71_1	Q0071	Quito	urban	2014-09-01	NA	NA	ecoli
Q85_1	Q0085	Quito	urban	2014-09-02	DAEC	DAEC	ecoli
Q86	Q0086	Quito	urban	2014-09-02	aEPEC	aEPEC	ecoli
Q87	Q0087	Quito	urban	2014-09-02	ETEC	EAEC/ETEC	ecoli
Q89	Q0089	Quito	urban	2014-09-02	EAEC	EAEC	ecoli
Q91	Q0091	Quito	urban	2014-09-02	DAEC	DAEC	ecoli
R104_2	R0104	Rural_villages	rural	2015-08-22	NA	NA	ecoli
R109_1	R0109	Rural_villages	rural	2015-08-22	NA	NA	ecoli
R110_5	R0110	Rural_villages	rural	2015-08-22	NA	NA	ecoli
R113_1	R0113	Rural_villages	rural	2015-08-22	DAEC	DAEC	ecoli
R113_3	R0113	Rural_villages	rural	2015-08-22	EAEC	EAEC/ETEC	ecoli
R116_2	R0116	Rural_villages	rural	2015-08-22	ETEC	ETEC	ecoli
R119_3	R0119	Rural_villages	rural	2015-08-22	ETEC	ETEC	ecoli
R122_4	R0122	Rural_villages	rural	2015-08-22	EAEC	EAEC	ecoli
R127_3	R0127	Rural_villages	rural	2015-09-26	aEPEC	aEPEC	ecoli
R12_1	R0012	Rural_villages	rural	2014-10-15	NA	NA	ecoli
R137_1	R0137	Rural_villages	rural	2015-09-27	NA	NA	ecoli
R138_1	R0138	Rural_villages	rural	2015-09-27	NA	NA	ecoli
R17_2	R0017	Rural_villages	rural	2014-10-15	ETEC	ETEC	ecoli
R36_1	R0036	Rural_villages	rural	2014-11-12	EAEC	EAEC	ecoli
R42_2	R0042	Rural_villages	rural	2014-12-13	DAEC	DAEC	ecoli
R43_2	R0043	Rural_villages	rural	2014-12-13	aEPEC	aEPEC	ecoli
R46_3	R0046	Rural_villages	rural	2014-12-15	ETEC	ETEC	ecoli
R55_1	R0055	Rural_villages	rural	2015-02-22	aEPEC	aEPEC	ecoli
R56_3	R0056	Rural_villages	rural	2015-02-22	EAEC	EAEC	ecoli
R58_1	R0058	Rural_villages	rural	2015-02-22	NA	NA	ecoli
R60_2	R0060	Rural_villages	rural	2015-04-21	NA	NA	ecoli
R66_4	R0066	Rural_villages	rural	2015-04-22	ETEC	ETEC	ecoli
R67_3	R0067	Rural_villages	rural	2015-04-22	DAEC	DAEC	ecoli
R83_3	R0083	Rural_villages	rural	2015-06-23	EAEC	EAEC	ecoli
R84_2	R0084	Rural_villages	rural	2015-06-23	NA	NA	ecoli
R85_2	R0085	Rural_villages	rural	2015-06-23	ETEC	ETEC	ecoli
R86_1	R0086	Rural_villages	rural	2015-06-23	DAEC	DAEC	ecoli
R8_4	R0008	Rural_villages	rural	2014-10-15	DAEC	DAEC	ecoli
R92_5	R0092	Rural_villages	rural	2015-07-26	EAEC	EAEC	ecoli
